Dimension; monoThread; Row; Col
4 ; 0.428736 ; 0.284320 ; 0.274560 
5 ; 0.676640 ; 0.376032 ; 0.365760 
6 ; 0.960672 ; 0.496320 ; 0.483136 
7 ; 1.351136 ; 0.637888 ; 0.624928 
8 ; 1.808768 ; 0.761856 ; 0.735200 
9 ; 2.352064 ; 1.061472 ; 1.195840 
10 ; 3.022944 ; 1.620928 ; 1.568800 
11 ; 3.791136 ; 1.920448 ; 2.029056 
12 ; 4.654112 ; 2.246720 ; 2.301216 
13 ; 5.733632 ; 2.629280 ; 2.719520 
14 ; 6.898176 ; 2.978176 ; 3.205088 
15 ; 8.217888 ; 3.544736 ; 3.734816 
16 ; 9.889728 ; 3.908800 ; 3.900544 
17 ; 11.414560 ; 4.909696 ; 5.936320 
18 ; 13.320704 ; 5.866912 ; 6.598976 
19 ; 15.356960 ; 6.203776 ; 7.080864 
20 ; 17.654720 ; 7.537888 ; 7.920256 
21 ; 20.124352 ; 8.407968 ; 8.394112 
22 ; 24.923937 ; 9.861824 ; 10.206592 
23 ; 29.612831 ; 11.121056 ; 11.480672 
24 ; 35.655487 ; 12.555584 ; 12.361504 
25 ; 42.435009 ; 14.316480 ; 15.692736 
26 ; 51.134079 ; 14.625344 ; 16.614464 
27 ; 61.831230 ; 14.469440 ; 16.045055 
28 ; 61.982143 ; 14.220480 ; 15.347360 
29 ; 72.224129 ; 12.207040 ; 12.676928 
30 ; 58.264130 ; 13.433184 ; 13.499584 
31 ; 90.725342 ; 15.381536 ; 15.021216 
32 ; 84.562080 ; 11.546624 ; 11.411840 
33 ; 68.416893 ; 13.200256 ; 16.237057 
34 ; 108.459068 ; 16.496128 ; 19.545441 
35 ; 95.139069 ; 13.434432 ; 15.834464 
36 ; 91.622177 ; 14.355520 ; 15.863712 
37 ; 93.959267 ; 15.085600 ; 16.518208 
38 ; 102.034721 ; 16.229664 ; 17.314272 
39 ; 133.409317 ; 18.901249 ; 19.055424 
40 ; 142.768295 ; 19.847679 ; 19.729952 
41 ; 154.515747 ; 21.882433 ; 22.364191 
42 ; 165.251328 ; 23.290304 ; 23.237921 
43 ; 176.375046 ; 24.687424 ; 24.829216 
44 ; 249.129471 ; 31.232704 ; 29.560320 
45 ; 306.878021 ; 31.925632 ; 30.490879 
46 ; 336.250366 ; 33.327042 ; 31.630655 
47 ; 302.158844 ; 35.568958 ; 32.873344 
48 ; 319.898102 ; 35.025761 ; 34.379009 
49 ; 341.089020 ; 38.749088 ; 38.364223 
50 ; 437.596680 ; 40.665375 ; 39.753761 
51 ; 605.984314 ; 57.139458 ; 52.988930 
52 ; 603.762939 ; 58.804096 ; 54.809952 
53 ; 638.918701 ; 62.142494 ; 56.515743 
54 ; 677.390869 ; 62.295967 ; 61.190464 
55 ; 709.888733 ; 64.838531 ; 63.995041 
56 ; 747.981201 ; 68.171837 ; 65.460098 
57 ; 788.132812 ; 71.821342 ; 68.935837 
58 ; 830.751648 ; 75.017921 ; 71.211555 
59 ; 871.385315 ; 78.586754 ; 73.941826 
60 ; 921.144592 ; 81.969437 ; 75.726051 
61 ; 1077.800293 ; 85.283905 ; 77.886879 
62 ; 1016.106812 ; 88.571236 ; 79.294724 
63 ; 2122.712646 ; 151.524796 ; 143.444641 
